Radius,Simulated,Theoretical,STDEV
295,51.1056,49.0237,42.6423
296,50.0292,49.3567,40.5902
297,53.1056,49.6907,44.9667
298,52.3325,50.0259,44.3798
299,48.0096,50.3622,37.6705
300,51.2421,50.6997,41.8491
301,47.976,51.0382,37.8177
302,54.3742,51.3779,43.815
303,49.9142,51.7187,40.6182
304,52.5138,52.0607,42.9368
305,56.5208,52.4037,43.8756
306,56.0986,52.7479,47.3021
307,52.0874,53.0933,42.707
308,48.4884,53.4397,40.8383
309,52.5501,53.7873,39.3342
310,58.6715,54.136,52.5949
311,49.9036,54.4858,41.033
312,53.3401,54.8368,50.8116
313,58.4821,55.1889,47.7283
314,55.0569,55.5421,46.6254
315,52.6073,55.8964,45.8223
316,59.6007,56.2519,52.5064
317,55.5636,56.6085,41.9874
318,55.5134,56.9662,45.9771
319,57.1749,57.325,49.6126
320,52.5669,57.685,44.1264
321,55.8594,58.0461,43.1543
322,54.5467,58.4083,46.0722
323,56.4974,58.7717,46.534
324,59.0369,59.1361,47.8503
325,59.4872,59.5018,49.2153
326,60.9407,59.8685,48.3025
327,59.0215,60.2363,49.3648
328,64.5158,60.6053,54.0305
329,63.9252,60.9754,57.1149
330,65.4282,61.3467,52.7444
331,63.7921,61.719,52.4993
332,63.1248,62.0925,53.5002
333,60.6306,62.4671,47.4886
334,64.6022,62.8429,57.0252
335,61.6283,63.2198,47.0174
336,63.1702,63.5977,52.4214
337,63.9961,63.9769,52.1726
338,70.4183,64.3571,56.4743
339,65.5001,64.7385,54.6449
340,69.1895,65.121,59.1661
341,66.1489,65.5046,53.9199
342,68.3453,65.8894,56.4543
343,68.4016,66.2753,56.0579
344,65.5359,66.6623,53.4096
345,65.8491,67.0504,53.848
346,76.8961,67.4397,65.3173
347,70.9931,67.8301,60.1666
348,62.0904,68.2216,52.3906
349,70.2556,68.6142,56.2256
350,70.6739,69.008,58.9534
351,65.2532,69.4029,57.1161
352,73.5429,69.7989,60.1659
353,69.2538,70.1961,59.4888
354,68.2323,70.5944,58.1111
355,72.205,70.9938,54.676
356,68.6223,71.3943,53.7123
357,68.4496,71.7959,57.8489
358,65.6475,72.1987,52.43
359,68.5227,72.6026,54.8776
360,68.8931,73.0077,61.2215
361,71.5132,73.4138,59.2915
362,73.935,73.8211,56.9577
363,78.0748,74.2295,66.6824
364,76.408,74.6391,66.1
365,77.7565,75.0498,65.8798
366,82.5289,75.4616,67.8636
367,75.535,75.8745,64.6166
368,72.5778,76.2885,55.241
369,79.6994,76.7037,67.9076
370,70.6773,77.12,52.4302
371,80.4378,77.5374,67.7635
372,81.6576,77.956,71.3917
373,80.5966,78.3757,66.2374
374,84.9049,78.7965,70.7061
375,84.6546,79.2184,76.3465
376,80.882,79.6415,63.2859
377,79.8786,80.0657,66.1972
378,78.1982,80.491,63.3148
379,92.3255,80.9174,72.1574
380,83.2292,81.345,70.7615
381,76.0606,81.7737,57.2349
382,84.0268,82.2035,68.4317
383,80.5831,82.6345,69.1762
384,90.9324,83.0666,76.5285
385,78.7476,83.4998,62.1776
386,86.7829,83.9341,68.1727
387,80.5691,84.3695,62.5808
388,82.4479,84.8061,67.9253
389,79.6182,85.2438,62.607
390,82.1292,85.6827,69.2896
391,80.8391,86.1226,70.6456
392,87.4007,86.5637,65.9702
393,92.0386,87.006,81.6495
394,91.0054,87.4493,78.642
395,92.1084,87.8938,75.7593
396,92.9373,88.3394,78.509
397,89.3684,88.7861,71.3834
398,87.6849,89.2339,72.1823
399,85.033,89.6829,63.4754
400,91.2805,90.133,77.998
401,98.4056,90.5842,82.5106
402,92.9818,91.0366,72.9994
403,93.6344,91.4901,74.6923
404,100.571,91.9447,83.3986
405,95.888,92.4004,79.7024
406,91.5159,92.8573,71.4708
407,104.987,93.3153,79.7764
408,88.0297,93.7744,74.4278
409,92.9594,94.2346,68.4417
410,91.6553,94.696,71.7717
411,95.9019,95.1585,82.9194
412,98.2696,95.6221,83.6706
413,97.5838,96.0869,77.8206
414,94.2857,96.5528,71.7717
415,94.2164,97.0198,82.0991
416,91.1214,97.4879,66.2728
417,93.694,97.9572,83.2065
418,95.7115,98.4275,78.3378
419,102.576,98.899,89.7582
420,105.035,99.3717,91.8657
421,103.079,99.8454,84.9271
422,102.46,100.32,85.1125
423,99.1242,100.796,83.5325
424,102.547,101.273,84.4003
425,94.7743,101.752,74.7364
426,114.418,102.231,96.0578
427,105.547,102.712,82.8856
428,109.018,103.193,92.1649
429,111.464,103.676,89.9799
430,105.345,104.16,87.0129
431,113.808,104.645,90.0088
432,111.691,105.131,96.1986
433,95.3684,105.618,70.2288
434,103.359,106.107,79.3463
435,106.967,106.596,92.6263
436,107.407,107.087,90.899
437,110.798,107.579,86.0704
438,105.746,108.072,87.3854
439,105.055,108.566,79.8583
440,102.348,109.061,81.03
441,103.804,109.557,88.6182
442,110.929,110.055,94.0523
443,115.962,110.553,103.228
444,114.685,111.053,93.9074
445,115.813,111.554,97.6558
446,108.363,112.056,86.1235
447,112.14,112.559,86.7999
448,112.317,113.063,97.2161
449,126.786,113.568,97.4538
450,117.273,114.075,91.7207
451,118.617,114.582,105.25
452,118.057,115.091,95.0185
453,123.346,115.601,98.7864
454,121.219,116.112,103.068
455,110.795,116.624,83.6441
456,111.893,117.137,87.8324
457,118.69,117.651,99.6824
458,109.707,118.167,91.4284
459,118.953,118.683,93.3899
460,117.497,119.201,98.4835
461,110.482,119.72,81.2341
462,116.787,120.24,101.877
463,117.509,120.761,97.4518
464,126.669,121.283,110.973
465,125.438,121.806,101.86
466,126.262,122.331,105.354
467,119.814,122.856,92.5832
468,123.804,123.383,95.5051
469,129.782,123.911,106.23
470,127.366,124.44,96.3901
471,137.689,124.97,120.141
472,129.781,125.501,104.981
473,132.099,126.034,103.796
474,133.818,126.567,111.889
475,121.59,127.102,98.9438
476,120.474,127.638,92.5098
477,125.468,128.174,106.019
478,126.035,128.712,100.893
479,128.399,129.251,105.997
480,122.884,129.792,96.6617
481,120.452,130.333,100.087
482,128.68,130.876,104.52
483,134.876,131.419,115.332
484,137.114,131.964,109.718
485,137.549,132.51,109.804
486,131.179,133.057,101.258
487,134.13,133.605,102.561
488,137.229,134.154,111.393
489,140.137,134.705,106.744
490,146.295,135.256,126.076
491,135.668,135.809,107.239
492,151.205,136.362,119.334
493,130.101,136.917,104.355
494,138.323,137.473,107.833
495,138.404,138.03,116.238
496,127.067,138.589,105.594
497,140.34,139.148,111.254
498,133.542,139.709,108.123
499,127.603,140.27,107.516
500,142.488,140.833,113.924
501,140.25,141.397,119.857
502,151.828,141.962,126.3
503,144.691,142.528,110.862
504,144.278,143.095,111.126
505,139.717,143.664,109.95
506,156.015,144.233,119.578
507,155.736,144.804,130.972
508,147.469,145.376,122.886
509,151.38,145.949,117.139
510,147.094,146.523,121.446
511,146.882,147.098,114.801
512,145.959,147.674,122.431
513,135.312,148.252,115.548
514,154.823,148.83,125.983
515,139.542,149.41,107.685
516,135.171,149.991,116.733
517,157.204,150.573,123.502
518,156.739,151.156,131.883
519,155.92,151.74,119.592
520,150.651,152.325,119.921
521,152.917,152.911,113.439
522,161.213,153.499,132.086
523,163.702,154.088,128.413
524,160.128,154.678,138.154
525,165.585,155.268,136.426
526,158.202,155.861,130.964
527,153.426,156.454,124.315
528,159.544,157.048,135.404
529,148.423,157.643,122.928
530,156.118,158.24,129.442
531,147.825,158.838,114.012
532,147.657,159.437,121.143
533,162.233,160.037,127.645
534,168.793,160.638,141.879
535,165.241,161.24,125.973
536,156.614,161.843,115.113
537,161.565,162.448,127.532
538,175.546,163.053,142.019
539,173.096,163.66,148.344
540,168.841,164.268,149.662
541,173.112,164.877,136.043
542,163.797,165.487,135.85
543,162.76,166.098,135.634
544,161.196,166.71,135.024
545,165.044,167.324,139.58
546,156.53,167.938,124.063
547,153.296,168.554,119.196
548,180.414,169.171,145.129
549,181.563,169.789,141.466
550,171.021,170.408,133.712
551,164.583,171.028,123.583
552,184.877,171.65,154.004
553,180.16,172.272,161.259
554,182.724,172.896,155.542
555,180.724,173.52,144.813
556,173.348,174.146,147.372
557,171.019,174.773,137.71
558,167.977,175.401,136.788
559,181.731,176.031,152.588
560,162.266,176.661,132.23
561,162.769,177.293,124.103
562,185.754,177.925,144.574
563,191.516,178.559,144.439
564,181.501,179.194,139.15
565,172.383,179.83,129.78
566,197.787,180.467,167.394
567,193.095,181.105,171.448
568,189.877,181.745,162.643
569,192.479,182.385,156.02
570,177.82,183.027,144.498
571,181.367,183.669,147.817
572,181.072,184.313,151.744
573,174.203,184.958,149.546
574,166.377,185.605,134.081
575,194.362,186.252,143.798
576,194.719,186.9,149.323
577,194.894,187.55,144.478
578,177.743,188.2,126.032
579,209.056,188.852,179.052
580,202.646,189.505,177.441
581,197.319,190.159,168.737
582,203.33,190.814,164.015
583,183.305,191.471,147.351
584,190.418,192.128,156.917
585,189.923,192.786,159.94
586,185.987,193.446,156.34
587,181.584,194.107,143.652
588,201.233,194.769,157.416
589,203.56,195.432,154.384
590,198.691,196.096,149.102
591,193.587,196.761,160.638
592,219.405,197.428,177.834
593,209.769,198.095,187.977
594,211.014,198.764,172.888
595,197.226,199.434,165.393
596,200.967,200.105,159.682
597,201.262,200.777,166.205
598,189.475,201.45,160.616
599,184.049,202.124,146.163
600,208.708,202.8,155.53
601,217.972,203.476,172.497
602,205.567,204.154,148.192
603,197.182,204.833,160.141
604,229.616,205.513,185.788
605,216.709,206.194,193.742
606,218.294,206.876,177.935
607,206.498,207.559,173.343
608,205.858,208.244,172.082
609,205.965,208.929,172.021
610,199.646,209.616,162.208
611,193.663,210.304,153.279
612,222.162,210.993,177.118
613,219.596,211.683,158.323
614,212.797,212.374,163.757
615,224.991,213.066,189.525
616,232.371,213.76,208.924
617,215.977,214.455,177.071
618,217.468,215.15,175.916
619,212.669,215.847,170.471
620,224.679,216.545,188.17
621,212.802,217.244,175.975
622,195.656,217.944,154.995
623,221.862,218.646,171.405
624,231.825,219.348,180.069
625,221.035,220.052,167.465
626,231.497,220.757,188.698
